Date,Company,Stock_Price,Revenue_Millions,Net_Income_Millions,Market_Cap_Billions,EPS
2022-01-01,TechCorp,145.20,1200.50,170.25,72.60,2.30
2022-01-01,HealthInc,80.10,850.75,110.50,40.05,1.70
2022-01-01,RetailCo,42.50,1950.25,85.30,21.25,1.10
2022-01-01,FinServ,110.75,1000.40,140.20,55.38,2.00
2022-01-01,EnergyCo,65.30,700.60,90.15,32.65,1.50
2022-02-01,TechCorp,147.80,1225.75,175.10,73.90,2.35
2022-02-01,HealthInc,81.50,860.20,112.75,40.75,1.72
2022-02-01,RetailCo,43.10,1980.50,87.40,21.55,1.12
2022-02-01,FinServ,112.20,1015.30,142.50,56.10,2.05
2022-02-01,EnergyCo,66.10,710.25,92.30,33.05,1.52
2022-03-01,TechCorp,146.50,1210.25,172.60,73.25,2.32
2022-03-01,HealthInc,80.90,855.10,111.20,40.45,1.71
2022-03-01,RetailCo,42.80,1965.75,86.20,21.40,1.11
2022-03-01,FinServ,111.50,1005.75,141.10,55.75,2.02
2022-03-01,EnergyCo,65.80,705.50,91.10,32.90,1.51
2022-04-01,TechCorp,149.20,1235.50,178.30,74.60,2.38
2022-04-01,HealthInc,82.30,865.25,113.90,41.15,1.74
2022-04-01,RetailCo,43.50,1995.25,88.50,21.75,1.13
2022-04-01,FinServ,113.10,1020.40,143.80,56.55,2.07
2022-04-01,EnergyCo,66.50,715.75,93.25,33.25,1.53
2022-05-01,TechCorp,151.10,1250.75,180.50,75.55,2.40
2022-05-01,HealthInc,83.20,870.50,115.10,41.60,1.76
2022-05-01,RetailCo,44.00,2005.60,89.70,22.00,1.14
2022-05-01,FinServ,114.25,1025.80,145.00,57.13,2.09
2022-05-01,EnergyCo,67.00,720.90,94.50,33.50,1.55
2022-06-01,TechCorp,153.40,1275.25,183.75,76.70,2.43
2022-06-01,HealthInc,84.10,875.75,116.50,42.05,1.78
2022-06-01,RetailCo,44.50,2015.25,90.90,22.25,1.15
2022-06-01,FinServ,115.50,1030.25,146.30,57.75,2.11
2022-06-01,EnergyCo,67.75,72517.50,95.80,33.88,1.57
2022-07-01,TechCorp,150.90,1260.50,181.20,75.45,2.41
2022-07-01,HealthInc,83.50,872.10,115.80,41.75,1.77
2022-07-01,RetailCo,44.20,2000.75,89.50,22.10,1.14
2022-07-01,FinServ,114.80,1027.60,145.50,57.40,2.10
2022-07-01,EnergyCo,67.20,718.25,94.10,33.60,1.56
2022-08-01,TechCorp,155.60,1285.75,185.30,77.80,2.45
